id,description
1,Itching
2,skin rash
3,nodal skin eruptions
4,dischromic patches
5,skin peeling
6,scurring
7,"Red, scaly skin"
8,silver like dusting
9,small dents in nails
10,inflammatory nails
11,blister
12,red sore around nose
13,yellow crust ooze
14,blisters
15,Continuous sneezing
16,shivering
17,chills
18,watering from eyes
19,cough
20,runny nose
21,congestion
22,sinus pressure
23,loss of smell
24,Shortness of breath
25,chest pain
26,wheezing
27,fast heart rate
28,mucoid sputum
29,throat irritation
30,breathlessness
31,high fever
32,rusty sputum
33,headache
34,Stomach pain
35,vomiting
36,diarrhoea
37,nausea
38,loss of appetite
39,abdominal pain
40,dehydration
41,indigestion
42,internal itching
43,Yellowing of eyes
44,yellowish skin
45,dark urine
46,joint pain
47,inflammation and redness
48,shortness of breath
49,blueness of lips or fingernail beds
50,dizziness
51,blurred vision
52,excessive thirst
53,Stiff neck
54,altered sensorium
55,sensitivity to light
56,Sudden numbness or weakness
57,confusion
58,trouble speaking
59,loss of balance
60,weakness of one body side
61,Palpitations
62,restlessness
63,sweating
64,irritability
65,muscle tension
66,Seizures
67,loss of awareness
68,staring spells
69,temporary confusion
70,unusual sensations or behaviors
71,Joint pain
72,swelling
73,stiffness
74,muscle weakness
75,painful walking
76,movement stiffness
77,reduced flexibility
78,bone spurs
79,Widespread musculoskeletal pain
80,fatigue
81,Muscle pain
82,weakness
83,limited range of motion
84,muscle spasms
85,Excessive hunger
86,increased appetite
87,polyuria
88,weight loss
89,dry mouth
90,excessive hunger
91,hoarseness
92,bristly nails
93,Weight gain
94,cold intolerance
95,dry skin
96,puffy face
97,fever
98,swollen lymph nodes
99,malaise
100,Severe fatigue not improved by rest
101,unrefreshing sleep
102,muscle pain
103,headaches
104,sore throat
105,difficulty concentrating
106,pale skin
107,irregular heartbeats
108,Excessive bleeding
109,easy bruising
110,blood in urine
111,Fever
112,frequent infections
113,easy bleeding
114,Swollen lymph nodes
115,night sweats
116,itching
117,Chest pain
118,palpitations
119,swollen extremities
120,Often asymptomatic
121,nosebleeds
122,lightheadedness
123,pain in arms or back
124,Chronic cough
125,blood in sputum
126,internal discomfort
127,Cough
128,frequent respiratory infections
129,Diarrhea
130,bloating
131,gas
132,constipation
133,skin rash (butterfly-shaped)
134,Tremors
135,slowed movement
136,muscle stiffness
137,impaired balance
138,changes in speech
139,Hardened or tightened patches of skin
140,swollen fingers and hands
141,Raynaud's phenomenon
142,acid reflux
143,difficulty swallowing
144,Extreme fatigue
145,decreased appetite
146,darkening of skin
147,low blood pressure
148,salt craving
149,low blood sugar
150,diarrhea
