diagnosis,Symptoms
Acute Sinusitis,"nasal_congestion,thick_yellow_or_green_discharge_from_the_nose,facial_pain_and_pressure,headache,fever,cough,fatigue,toothache"
Addison's Disease,"extreme_fatigue,weight_loss,decreased_appetite,darkening_of_skin,low_blood_pressure,salt_craving,low_blood_sugar,nausea,diarrhea,vomiting,abdominal_pain,muscle_or_joint_pains"
Allergic Rhinitis,"continuous_sneezing,watering_from_eyes,runny_nose,sinus_pressure,loss_of_smell"
Alport Syndrome,"progressive_loss_of_kidney_function,hearing_loss,eye_abnormalities"
Amyotrophic Lateral Sclerosis (ALS),"muscle_weakness,twitching,cramping,difficulty_speaking_and_swallowing,difficulty_breathing,paralysis"
Anemia,"fatigue,weakness,pale_skin,shortness_of_breath,dizziness,irregular_heartbeats"
Anorexia Nervosa,"extreme_weight_loss,restricted_eating,intense_fear_of_gaining_weight,distorted_body_image,excessive_exercise"
Anxiety Disorders,"palpitations,restlessness,sweating,irritability,dizziness,muscle_tension"
Aplastic Anemia,"fatigue,shortness_of_breath,rapid_or_irregular_heart_rate,pale_skin,frequent_or_prolonged_infections,unexplained_or_easy_bruising,nosebleeds_and_bleeding_gums,prolonged_bleeding_from_cuts,skin_rash"
Arthritis,"joint_pain,swelling,stiffness,muscle_weakness,painful_walking,movement_stiffness"
Asthma,"shortness_of_breath,chest_pain,cough,wheezing,fast_heart_rate"
Autoimmune Hepatitis,"fatigue,enlarged_liver,jaundice,itching,skin_rashes,joint_pain,abdominal_discomfort,spider_angiomas,enlarged_spleen"
Bacterial Vaginosis,"thin_gray_white_or_green_vaginal_discharge,foul-smelling_fishy_vaginal_odor,vaginal_itching,burning_during_urination"
Becker Muscular Dystrophy (BMD),"muscle_weakness,delayed_motor_development,difficulty_walking,frequent_falls,muscle_cramps,enlarged_calves"
Behcet's Disease,"mouth_sores,genital_sores,inflammation_of_parts_of_the_eye,skin_problems,joint_pain,blood_vessel_inflammation,digestive_issues"
Bipolar Disorder,"extreme_mood_swings,manic_episodes,depressive_episodes"
